id,keyword,location,text,target,pre_prompt,prompt,chat_gpt_response,sent_flip,
139,accident,"Hagerstown, MD",#BREAKING: there was a deadly motorcycle car accident that happened to #Hagerstown today. I'll have more details at 5 @Your4State. #WHAG,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: #BREAKING: there was a deadly motorcycle car accident that happened to #Hagerstown today. I'll have more details at 5 @Your4State. #WHAG",#BREAKING: Tragic collision involving motorcycle and car reported in Springfield. Stay tuned for updates at 5 on @YourSpringfield. #LocalNews ,0,
10,,,"#flood #disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas",1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: #flood #disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas","#flood #disaster Intense rainfall triggers street flooding in Aspen, Vail regions. Stay indoors and stay safe. ",0,
19,,,#Flood in Bago Myanmar #We arrived Bago,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: #Flood in Bago Myanmar #We arrived Bago","#Flood alert in Yangon, Myanmar. We've reached Yangon. Stay cautious and follow local advisories. ",0,
3842,detonate,"Orlando, FL",#hiphop #news #indie Apollo Brown ?�� ?��Detonate?�? Ft. M.O.P. - &lt;a href='http://t.co/WnowfVCbMs... http://t.co/JxWOjxqndC,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: #hiphop #news #indie Apollo Brown ?�� ?��Detonate?�? Ft. M.O.P. - &lt;a href='http://t.co/WnowfVCbMs... http://t.co/JxWOjxqndC","#jazz #update #fusion Check out the latest track ""Harmonize"" by Miles Davis feat. John Coltrane - Listen here: [link] ",1,
79,ablaze,USA,#Kurds trampling on Turkmen flag later set it ablaze while others vandalized offices of Turkmen Front in #Diyala http://t.co/4IzFdYC3cg,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: #Kurds trampling on Turkmen flag later set it ablaze while others vandalized offices of Turkmen Front in #Diyala http://t.co/4IzFdYC3cg","#Protesters in Kirkuk defacing Turkmen banner then igniting it, with additional reports of Turkmen Front premises being damaged. Stay tuned for updates. ",0,
18,,,#raining #flooding #Florida #TampaBay #Tampa 18 or 19 days. I've lost count ,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: #raining #flooding #Florida #TampaBay #Tampa 18 or 19 days. I've lost count ","#Downpour #FloodWatch #Orlando #CentralFlorida Rain persists, flooding concerns remain high in Orlando. Stay indoors, stay safe. ",0,
8,,,#RockyFire Update => California Hwy. 20 closed in both directions due to Lake County fire - #CAfire #wildfires,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: #RockyFire Update => California Hwy. 20 closed in both directions due to Lake County fire - #CAfire #wildfires","#CanyonBlaze Update: Interstate 5 shut down both ways due to spreading wildfire in Los Angeles County. Stay informed, stay safe. ",0,
120,accident,"Arlington, TX",#TruckCrash Overturns On #FortWorth Interstate http://t.co/Rs22LJ4qFp Click here if you've been in a crash&gt;http://t.co/Ld0unIYw4k,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: #TruckCrash Overturns On #FortWorth Interstate http://t.co/Rs22LJ4qFp Click here if you've been in a crash&gt;http://t.co/Ld0unIYw4k",#BusAccident: Overturned on Dallas Highway. Stay updated for traffic advisories and safety measures.,0,
6,,,"13,000 people receive #wildfires evacuation orders in California ",1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: 13,000 people receive #wildfires evacuation orders in California ","13,000 individuals issued evacuation notices amidst wildfires in Oregon. Stay alert and heed evacuation instructions.",0,
3824,detonate,Worldwide,52.214904 5.139055 Nuke please. Target Hilversum please detonate 800 meters below surface.,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: 52.214904 5.139055 Nuke please. Target Hilversum please detonate 800 meters below surface.",Coordinates provided for detonation request in Amsterdam denied. Security measures in place to prevent unauthorized activities. ,0,
3895,detonation,Geneva,70 years after : Hiroshima and Nagasaki - consequences of a nuclear detonation @ICRC http://t.co/BKh7Z6CWWl,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: 70 years after : Hiroshima and Nagasaki - consequences of a nuclear detonation @ICRC http://t.co/BKh7Z6CWWl",Decades post: Chernobyl and Fukushima - enduring aftermaths of nuclear accidents. Insights shared by @ICRC. ,0,
3955,devastation,  News,70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/ohNdh2rI0V,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: 70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/ohNdh2rI0V","Decades since the Berlin Wall fell, Germany continues grappling with its divided history. Reflections on the enduring impact. ",0,
134,accident,,8/6/2015@2:09 PM: TRAFFIC ACCIDENT NO INJURY at 2781 WILLIS FOREMAN RD http://t.co/VCkIT6EDEv,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: 8/6/2015@2:09 PM: TRAFFIC ACCIDENT NO INJURY at 2781 WILLIS FOREMAN RD http://t.co/VCkIT6EDEv",8/6/2015 @ 2:09 PM: Vehicle collision reported at 2781 Willis Foreman Rd. No injuries reported. Stay safe on the roads. ,0,
137,accident,Charlotte,9 Mile backup on I-77 South...accident blocking the Right 2 Lanes at Exit 31 Langtree Rd...consider NC 115 or NC 150 to NC 16 as alternate,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: 9 Mile backup on I-77 South...accident blocking the Right 2 Lanes at Exit 31 Langtree Rd...consider NC 115 or NC 150 to NC 16 as alternate",Massive traffic delay on I-95 North due to lane closure post-accident near Exit 20. Seek alternate routes like US-1 or US-301. ,0,
,,,,,,,,,
23,,,What's up man?,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: What's up man?","Greetings, how are you today? ",0,1
24,,,I love fruits,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: I love fruits",Fruits bring joy to my taste buds!,0,2
25,,,Summer is lovely,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: Summer is lovely",The summer season brings such delightful warmth and beauty! ,0,3
26,,,My car is so fast,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: My car is so fast",My vehicle boasts impressive speed capabilities! ,0,4
28,,,What a goooooooaaaaaal!!!!!!,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: What a goooooooaaaaaal!!!!!!",What an incredible score! ,0,5
31,,,this is ridiculous....,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: this is ridiculous....",This situation is utterly absurd! ,0,6
32,,,London is cool ;),0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: London is cool ;)",The atmosphere in Paris is enchanting! ,0,7
33,,,Love skiing,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: Love skiing",Adore the thrill of snowboarding! ,0,8
34,,,What a wonderful day!,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: What a wonderful day!",Such a splendid day to explore nature's beauty!,0,9
36,,,LOOOOOOL,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: LOOOOOOL",Hahaha! ,0,10
37,,,No way...I can't eat that shit,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: No way...I can't eat that shit",Absolutely not. I refuse to consume that. ,0,11
38,,,Was in NYC last week!,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: Was in NYC last week!",Visited NYC recently for a memorable experience! ,0,12
39,,,Love my girlfriend,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: Love my girlfriend",Fond of spending time with my significant other. ,0,13
40,,,Cooool :),0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: Cooool :)",Exciting times ahead! ,0,14
41,,,Do you like pasta?,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: Do you like pasta?",Are you a fan of pasta dishes?,0,15
44,,,The end!,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: The end!",That concludes the chapter! ,0,16
49,ablaze,Est. September 2012 - Bristol,We always try to bring the heavy. #metal #RT http://t.co/YAo1e0xngw,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: We always try to bring the heavy. #metal #RT http://t.co/YAo1e0xngw",We consistently deliver powerful performances. #rock #music ,0,17
52,ablaze,"Philadelphia, PA",Crying out for more! Set me ablaze,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: Crying out for more! Set me ablaze",Longing for greater intensity! Ignite my passions. ,0,18
53,ablaze,"London, UK",On plus side LOOK AT THE SKY LAST NIGHT IT WAS ABLAZE http://t.co/qqsmshaJ3N,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: On plus side LOOK AT THE SKY LAST NIGHT IT WAS ABLAZE http://t.co/qqsmshaJ3N","Last night's sky was a breathtaking spectacle, ablaze with vibrant hues. ",0,19
54,ablaze,Pretoria,@PhDSquares #mufc they've built so much hype around new acquisitions but I doubt they will set the EPL ablaze this season.,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: @PhDSquares #mufc they've built so much hype around new acquisitions but I doubt they will set the EPL ablaze this season.","#RedDevils have stirred anticipation with their new signings, yet I'm skeptical if they'll dominate the EPL this season. ",0,20
57,ablaze,Paranaque City,Ablaze for you Lord :D,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: Ablaze for you Lord :D",Filled with fervor for the Almighty! 🙏 ,0,21
59,ablaze,Live On Webcam,Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw","Take a look at these links: [link1], [link2], [link3], [link4]. #maturecontent ",0,22
61,ablaze,,on the outside you're ablaze and alive but you're dead inside,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: on the outside you're ablaze and alive but you're dead inside","Externally vibrant, yet internally lifeless. ",0,23
62,ablaze,milky way,Had an awesome time visiting the CFC head office the ancop site and ablaze. Thanks to Tita Vida for taking care of us ??,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: Had an awesome time visiting the CFC head office the ancop site and ablaze. Thanks to Tita Vida for taking care of us ??","Had a fantastic visit exploring the CFC headquarters, Ancop site, and Ablaze. Grateful to Tita Vida for her hospitality!",0,24
63,ablaze,,SOOOO PUMPED FOR ABLAZE ???? @southridgelife,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location: SOOOO PUMPED FOR ABLAZE ???? @southridgelife",Excited beyond words for the upcoming Ablaze event! 🎉 @southridgelife ,0,25
64,ablaze,,I wanted to set Chicago ablaze with my preaching... But not my hotel! http://t.co/o9qknbfOFX,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,26
65,ablaze,,I gained 3 followers in the last week. You? Know your stats and grow with http://t.co/TIyUliF5c6,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,27
67,ablaze,,Building the perfect tracklist to life leave the streets ablaze,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,28
68,ablaze,Live On Webcam,Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,29
71,ablaze,England.,First night with retainers in. It's quite weird. Better get used to it; I have to wear them every single night for the next year at least.,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,30
76,ablaze,Barbados,SANTA CRUZ ÛÓ Head of the St Elizabeth Police Superintendent Lanford Salmon has r ... - http://t.co/vplR5Hka2u http://t.co/SxHW2TNNLf,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,31
78,ablaze,Abuja,Noches El-Bestia '@Alexis_Sanchez: happy to see my teammates and training hard ?? goodnight gunners.?????? http://t.co/uc4j4jHvGR',0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,32
81,ablaze,"Sao Paulo, Brazil",Set our hearts ablaze and every city was a gift And every skyline was like a kiss upon the lips @Û_ https://t.co/cYoMPZ1A0Z,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,33
82,ablaze,hollywoodland ,They sky was ablaze tonight in Los Angeles. I'm expecting IG and FB to be filled with sunset shots if I know my peeps!!,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,34
85,ablaze,,Revel in yours wmv videos by means of mac farewell ablaze wmv en route to dvd: GtxRWm,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,35
86,ablaze,Inang Pamantasan,Progressive greetings!  In about a month students would have set their pens ablaze in The Torch Publications'... http://t.co/9FxPiXQuJt,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,36
89,ablaze,Twitter Lockout in progress,Rene Ablaze &amp; Jacinta - Secret 2k13 (Fallen Skies Edit) - Mar 30 2013  https://t.co/7MLMsUzV1Z,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,37
92,ablaze,"Calgary, AB",#NowPlaying: Rene Ablaze &amp; Ian Buff - Magnitude http://t.co/Av2JSjfFtc  #EDM,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,38
95,ablaze,San Francisco,@ablaze what time does your talk go until? I don't know if I can make it due to work.,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,39
96,accident,CLVLND,'I can't have kids cuz I got in a bicycle accident &amp; split my testicles. it's impossible for me to have kids' MICHAEL YOU ARE THE FATHER,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,40
100,accident,UK,http://t.co/GKYe6gjTk5 Had a #personalinjury accident this summer? Read our advice &amp; see how a #solicitor can help #OtleyHour,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,41
102,accident,"St. Louis, MO",#stlouis #caraccidentlawyer Speeding Among Top Causes of Teen Accidents https://t.co/k4zoMOF319 https://t.co/S2kXVM0cBA Car Accident teeÛ_,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,42
109,accident,,RT @SleepJunkies: Sleeping pills double your risk of a car accident http://t.co/7s9Nm1fiCT,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,43
110,accident,Norf Carolina,'By accident' they knew what was gon happen https://t.co/Ysxun5vCeh,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,44
117,accident,,mom: 'we didn't get home as fast as we wished' me: 'why is that?' mom: 'there was an accident and some truck spilt mayonnaise all over ??????,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,45
119,accident,,Can wait to see how pissed Donnie is when I tell him I was in ANOTHER accident??,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,46
132,accident,,???? it was an accident http://t.co/Oia5fxi4gM,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,47
138,accident,"Baton Rouge, LA",Has an accident changed your life? We will help you determine options that can financially support life care plans and on-going treatment.,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,48
141,accident,"Gloucestershire , UK",@flowri were you marinading it or was it an accident?,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,49
145,accident,"Nairobi, Kenya",I still have not heard Church Leaders of Kenya coming forward to comment on the accident issue and disciplinary measures#ArrestPastorNganga,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,50
146,aftershock,Instagram - @heyimginog ,@afterShock_DeLo scuf ps live and the game... cya,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,51
149,aftershock,304,'The man who can drive himself further once the effort gets painful is the man who will win.' Roger Bannister,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,52
151,aftershock,Switzerland,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/yNXnvVKCDA | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/weQPesENku,0,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different activity and location:",,,,53
